0.068: [GC 0.068: [DefNew: 4219K->167K(4928K), 0.0011659 secs] 4219K->167K(15872K), 0.0012086 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.069: [GC 0.070: [DefNew: 4209K->167K(4928K), 0.0003955 secs] 4209K->167K(15872K), 0.0004372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.070: [GC 0.070: [DefNew: 4104K->167K(4928K), 0.0003654 secs] 4104K->167K(15872K), 0.0004044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.071: [GC 0.071: [DefNew: 4093K->167K(4928K), 0.0003305 secs] 4093K->167K(15872K), 0.0003602 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.072: [GC 0.072: [DefNew: 4087K->167K(4928K), 0.0003233 secs] 4087K->167K(15872K), 0.0003568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.073: [GC 0.073: [DefNew: 4082K->167K(4928K), 0.0003158 secs] 4082K->167K(15872K), 0.0003349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.074: [GC 0.074: [DefNew: 4079K->167K(4928K), 0.0003065 secs] 4079K->167K(15872K), 0.0003226 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.075: [GC 0.075: [DefNew: 4077K->167K(4928K), 0.0003387 secs] 4077K->167K(15872K), 0.0003554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.075: [GC 0.075: [DefNew: 4076K->167K(4928K), 0.0003158 secs] 4076K->167K(15872K), 0.0003325 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.076: [GC 0.076: [DefNew: 4075K->167K(4928K), 0.0003079 secs] 4075K->167K(15872K), 0.0003236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.077: [GC 0.077: [DefNew: 4075K->167K(4928K), 0.0002959 secs] 4075K->167K(15872K), 0.0003106 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.078: [GC 0.078: [DefNew: 4076K->167K(4928K), 0.0003014 secs] 4076K->167K(15872K), 0.0003171 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.079: [GC 0.079: [DefNew: 4076K->167K(4928K), 0.0002983 secs] 4076K->167K(15872K), 0.0003137 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.079: [GC 0.079: [DefNew: 4076K->167K(4928K), 0.0002976 secs] 4076K->167K(15872K), 0.0003127 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.080: [GC 0.080: [DefNew: 4076K->167K(4928K), 0.0002966 secs] 4076K->167K(15872K), 0.0003113 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.081: [GC 0.081: [DefNew: 4076K->0K(4928K), 0.0003825 secs] 4076K->167K(15872K), 0.0003985 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.082: [GC 0.082: [DefNew: 3909K->0K(4928K), 0.0001427 secs] 4076K->168K(15872K), 0.0001570 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.082: [GC 0.082: [DefNew: 3909K->0K(4928K), 0.0000393 secs] 4076K->168K(15872K), 0.0000534 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.083: [GC 0.083: [DefNew: 3909K->0K(4928K), 0.0000527 secs] 4076K->168K(15872K), 0.0000664 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.083: [GC 0.083: [DefNew: 3909K->0K(4928K), 0.0000520 secs] 4076K->168K(15872K), 0.0000763 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.084: [GC 0.084: [DefNew: 3909K->0K(4928K), 0.0000568 secs] 4076K->168K(15872K), 0.0000736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.085: [GC 0.085: [DefNew: 3909K->0K(4928K), 0.0000725 secs] 4076K->168K(15872K), 0.0000907 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.085: [GC 0.085: [DefNew: 3909K->0K(4928K), 0.0000523 secs] 4076K->168K(15872K), 0.0000691 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.086: [GC 0.086: [DefNew: 3909K->0K(4928K), 0.0000489 secs] 4076K->168K(15872K), 0.0000650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.086: [GC 0.086: [DefNew: 3909K->0K(4928K), 0.0000431 secs] 4076K->168K(15872K), 0.0000558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.087: [GC 0.087: [DefNew: 3909K->0K(4928K), 0.0000380 secs] 4076K->168K(15872K), 0.0000496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.087: [GC 0.087: [DefNew: 3909K->0K(4928K), 0.0000332 secs] 4076K->168K(15872K), 0.0000445 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.088: [GC 0.088: [DefNew: 3909K->0K(4928K), 0.0000424 secs] 4076K->168K(15872K), 0.0000585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.088: [GC 0.088: [DefNew: 3909K->0K(4928K), 0.0000376 secs] 4076K->168K(15872K), 0.0001023 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.089: [GC 0.089: [DefNew: 3909K->0K(4928K), 0.0000380 secs] 4076K->168K(15872K), 0.0000530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.089: [GC 0.089: [DefNew: 3909K->0K(4928K), 0.0000369 secs] 4077K->168K(15872K), 0.0000517 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.090: [GC 0.090: [DefNew: 3909K->0K(4928K), 0.0000369 secs] 4077K->168K(15872K), 0.0000510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
